,X,Y,y_pred,geometry
4301,674000.0,1562200.0,0.0,POINT (674000 1562200)
4302,718000.0,1724200.0,0.0,POINT (718000 1724200)
4303,634000.0,1706200.0,0.0,POINT (634000 1706200)
4304,720000.0,1606200.0,0.0,POINT (720000 1606200)
4305,656000.0,1586200.0,1.0,POINT (656000 1586200)
4306,702000.0,1562200.0,0.0,POINT (702000 1562200)
4307,706000.0,1724200.0,0.0,POINT (706000 1724200)
4308,708000.0,1668200.0,0.0,POINT (708000 1668200)
4309,622000.0,1616200.0,0.0,POINT (622000 1616200)
4310,712000.0,1682200.0,0.0,POINT (712000 1682200)
4311,642000.0,1630200.0,0.0,POINT (642000 1630200)
4312,698000.0,1646200.0,0.0,POINT (698000 1646200)
4313,616000.0,1666200.0,0.0,POINT (616000 1666200)
4314,710000.0,1526200.0,0.0,POINT (710000 1526200)
4315,660000.0,1574200.0,1.0,POINT (660000 1574200)
4316,638000.0,1714200.0,0.0,POINT (638000 1714200)
4317,734000.0,1598200.0,0.0,POINT (734000 1598200)
4318,674000.0,1570200.0,0.0,POINT (674000 1570200)
4319,728000.0,1646200.0,0.0,POINT (728000 1646200)
4320,750000.0,1696200.0,0.0,POINT (750000 1696200)
4321,680000.0,1612200.0,1.0,POINT (680000 1612200)
4322,660000.0,1706200.0,0.0,POINT (660000 1706200)
4323,722000.0,1696200.0,0.0,POINT (722000 1696200)
4324,708000.0,1612200.0,1.0,POINT (708000 1612200)
4325,756000.0,1646200.0,1.0,POINT (756000 1646200)
4326,668000.0,1630200.0,0.0,POINT (668000 1630200)
4327,706000.0,1598200.0,0.0,POINT (706000 1598200)
4328,662000.0,1570200.0,1.0,POINT (662000 1570200)
4329,738000.0,1678200.0,0.0,POINT (738000 1678200)
4330,668000.0,1554200.0,0.0,POINT (668000 1554200)
4331,644000.0,1724200.0,0.0,POINT (644000 1724200)
4332,632000.0,1724200.0,0.0,POINT (632000 1724200)
4333,636000.0,1526200.0,0.0,POINT (636000 1526200)
4334,680000.0,1554200.0,0.0,POINT (680000 1554200)
4335,710000.0,1678200.0,0.0,POINT (710000 1678200)
4336,630000.0,1724200.0,0.0,POINT (630000 1724200)
4337,712000.0,1678200.0,0.0,POINT (712000 1678200)
4338,678000.0,1554200.0,1.0,POINT (678000 1554200)
4339,634000.0,1526200.0,0.0,POINT (634000 1526200)
4340,666000.0,1554200.0,0.0,POINT (666000 1554200)
4341,740000.0,1678200.0,0.0,POINT (740000 1678200)
4342,642000.0,1724200.0,0.0,POINT (642000 1724200)
4343,706000.0,1612200.0,1.0,POINT (706000 1612200)
4344,724000.0,1696200.0,0.0,POINT (724000 1696200)
4345,658000.0,1706200.0,0.0,POINT (658000 1706200)
4346,664000.0,1570200.0,0.0,POINT (664000 1570200)
4347,708000.0,1598200.0,0.0,POINT (708000 1598200)
4348,666000.0,1630200.0,0.0,POINT (666000 1630200)
4349,754000.0,1646200.0,1.0,POINT (754000 1646200)
4350,726000.0,1646200.0,0.0,POINT (726000 1646200)
4351,676000.0,1570200.0,0.0,POINT (676000 1570200)
4352,736000.0,1598200.0,0.0,POINT (736000 1598200)
4353,678000.0,1612200.0,1.0,POINT (678000 1612200)
4354,752000.0,1696200.0,0.0,POINT (752000 1696200)
4355,624000.0,1616200.0,0.0,POINT (624000 1616200)
4356,706000.0,1668200.0,0.0,POINT (706000 1668200)
4357,708000.0,1724200.0,0.0,POINT (708000 1724200)
4358,704000.0,1562200.0,0.0,POINT (704000 1562200)
4359,654000.0,1586200.0,1.0,POINT (654000 1586200)
4360,718000.0,1606200.0,1.0,POINT (718000 1606200)
4361,636000.0,1706200.0,0.0,POINT (636000 1706200)
4362,640000.0,1714200.0,0.0,POINT (640000 1714200)
4363,658000.0,1574200.0,1.0,POINT (658000 1574200)
4364,712000.0,1526200.0,0.0,POINT (712000 1526200)
4365,614000.0,1666200.0,0.0,POINT (614000 1666200)
4366,700000.0,1646200.0,0.0,POINT (700000 1646200)
4367,644000.0,1630200.0,0.0,POINT (644000 1630200)
4368,710000.0,1682200.0,0.0,POINT (710000 1682200)
4369,626000.0,1666200.0,0.0,POINT (626000 1666200)
4370,616000.0,1630200.0,0.0,POINT (616000 1630200)
4371,628000.0,1714200.0,0.0,POINT (628000 1714200)
4372,686000.0,1574200.0,0.0,POINT (686000 1574200)
4373,684000.0,1526200.0,1.0,POINT (684000 1526200)
4374,720000.0,1724200.0,0.0,POINT (720000 1724200)
4375,676000.0,1562200.0,0.0,POINT (676000 1562200)
4376,666000.0,1586200.0,0.0,POINT (666000 1586200)
4377,668000.0,1720200.0,0.0,POINT (668000 1720200)
4378,792000.0,1708200.0,0.0,POINT (792000 1708200)
4379,612000.0,1616200.0,0.0,POINT (612000 1616200)
4380,734000.0,1668200.0,1.0,POINT (734000 1668200)
4381,652000.0,1562200.0,1.0,POINT (652000 1562200)
4382,730000.0,1606200.0,0.0,POINT (730000 1606200)
4383,692000.0,1720200.0,1.0,POINT (692000 1720200)
4384,628000.0,1542200.0,0.0,POINT (628000 1542200)
4385,646000.0,1696200.0,0.0,POINT (646000 1696200)
4386,644000.0,1644200.0,0.0,POINT (644000 1644200)
4387,672000.0,1646200.0,0.0,POINT (672000 1646200)
4388,624000.0,1740200.0,0.0,POINT (624000 1740200)
4389,722000.0,1682200.0,0.0,POINT (722000 1682200)
4390,738000.0,1570200.0,0.0,POINT (738000 1570200)
4391,630000.0,1598200.0,0.0,POINT (630000 1598200)
4392,632000.0,1530200.0,0.0,POINT (632000 1530200)
4393,696000.0,1714200.0,1.0,POINT (696000 1714200)
4394,658000.0,1598200.0,1.0,POINT (658000 1598200)
4395,620000.0,1530200.0,1.0,POINT (620000 1530200)
4396,634000.0,1574200.0,1.0,POINT (634000 1574200)
4397,644000.0,1646200.0,0.0,POINT (644000 1646200)
4398,734000.0,1682200.0,0.0,POINT (734000 1682200)
4399,674000.0,1696200.0,0.0,POINT (674000 1696200)
4400,680000.0,1616200.0,0.0,POINT (680000 1616200)
4401,632000.0,1644200.0,0.0,POINT (632000 1644200)
4402,682000.0,1668200.0,0.0,POINT (682000 1668200)
4403,742000.0,1606200.0,0.0,POINT (742000 1606200)
4404,720000.0,1720200.0,0.0,POINT (720000 1720200)
4405,744000.0,1590200.0,0.0,POINT (744000 1590200)
4406,686000.0,1736200.0,0.0,POINT (686000 1736200)
4407,714000.0,1550200.0,0.0,POINT (714000 1550200)
4408,674000.0,1636200.0,0.0,POINT (674000 1636200)
4409,778000.0,1730200.0,0.0,POINT (778000 1730200)
4410,790000.0,1730200.0,0.0,POINT (790000 1730200)
4411,646000.0,1636200.0,0.0,POINT (646000 1636200)
4412,654000.0,1534200.0,0.0,POINT (654000 1534200)
4413,756000.0,1590200.0,0.0,POINT (756000 1590200)
4414,714000.0,1736200.0,0.0,POINT (714000 1736200)
4415,702000.0,1550200.0,0.0,POINT (702000 1550200)
4416,718000.0,1650200.0,0.0,POINT (718000 1650200)
4417,712000.0,1658200.0,0.0,POINT (712000 1658200)
4418,744000.0,1594200.0,0.0,POINT (744000 1594200)
4419,714000.0,1546200.0,0.0,POINT (714000 1546200)
4420,650000.0,1698200.0,0.0,POINT (650000 1698200)
4421,662000.0,1728200.0,0.0,POINT (662000 1728200)
4422,760000.0,1692200.0,0.0,POINT (760000 1692200)
4423,788000.0,1692200.0,0.0,POINT (788000 1692200)
4424,732000.0,1672200.0,0.0,POINT (732000 1672200)
4425,638000.0,1698200.0,1.0,POINT (638000 1698200)
4426,772000.0,1594200.0,0.0,POINT (772000 1594200)
4427,686000.0,1546200.0,0.0,POINT (686000 1546200)
4428,684000.0,1578200.0,0.0,POINT (684000 1578200)
4429,690000.0,1650200.0,0.0,POINT (690000 1650200)
4430,740000.0,1658200.0,0.0,POINT (740000 1658200)
4431,672000.0,1626200.0,0.0,POINT (672000 1626200)
4432,642000.0,1662200.0,0.0,POINT (642000 1662200)
4433,630000.0,1578200.0,1.0,POINT (630000 1578200)
4434,670000.0,1740200.0,0.0,POINT (670000 1740200)
4435,632000.0,1550200.0,0.0,POINT (632000 1550200)
4436,612000.0,1718200.0,0.0,POINT (612000 1718200)
4437,664000.0,1702200.0,0.0,POINT (664000 1702200)
4438,684000.0,1538200.0,1.0,POINT (684000 1538200)
4439,682000.0,1582200.0,0.0,POINT (682000 1582200)
4440,676000.0,1566200.0,0.0,POINT (676000 1566200)
4441,680000.0,1728200.0,0.0,POINT (680000 1728200)
4442,678000.0,1672200.0,1.0,POINT (678000 1672200)
4443,780000.0,1622200.0,0.0,POINT (780000 1622200)
4444,706000.0,1672200.0,0.0,POINT (706000 1672200)
4445,648000.0,1640200.0,0.0,POINT (648000 1640200)
4446,768000.0,1622200.0,0.0,POINT (768000 1622200)
4447,730000.0,1692200.0,0.0,POINT (730000 1692200)
